,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12
,11,-4.361517065,-13.25838226,-19.91589017,-17.63236553,-16.42966667,-15.10175746,-5.398652852,0.90784043,-0.716712816,13.35506559,3.637284611,-3.520659628,-20.33208085,-32.15099999,-21.23105877,-19.10684901,-23.55476038,-16.43445253,1.576610966,-14.89968649,-22.25663129,-7.981378308,-8.696049308,-2.852872904,-9.277420774,-12.92526466,-14.6378647,-11.25577341,-14.02825867,-9.445062438,-5.645995842,-1.485769103,-10.66074762,-1.591579683,-4.178040015,37.55729316,-4.516337683,-4.879980211,-0.896223387,-4.117147511,-2.781844825,-1.310099652,-0.69431585,0.470025524,3.733916942,6.061854969,0.633798658,53.33475439
,12,-13.55383205,-25.67587886,-26.5992072,-23.92352362,-23.86037173,-23.20364032,-14.19554266,-13.02313266,-15.37560686,4.279152336,2.072501398,-11.61850826,-24.69688731,-44.23181268,-26.76493209,-26.26243233,-29.15014431,-23.89191988,-8.422693623,-22.12903777,-23.58322739,-10.00215166,-20.84511575,0.986221306,-16.71177347,-20.02194974,-21.64439466,-15.82639216,-18.78628442,-16.44803566,-11.48122043,-8.043346975,-10.39454927,0.254629643,-11.40251157,57.99198544,-0.788319609,-9.133377008,-2.232191455,-6.485308561,-6.402914736,-7.815782477,4.13419151,-3.341894525,-2.485303792,2.911713348,0.6388643,58.214792
,13,-6.159823831,-34.26772417,-31.9631161,-32.26916638,-29.90486303,-37.39858377,-29.10811079,-21.24852374,-28.53065592,-1.018678372,-2.840042261,-1.521324787,-32.06934392,-52.2126558,-32.69908386,-31.56932858,-32.22933541,-32.10922939,-5.020454816,-32.3671017,-31.59579774,-16.37669797,-23.30666394,3.341328369,-16.82196406,-28.47873274,-28.61399722,-24.4017413,-24.52535659,-22.46290991,-16.89735738,-15.32989995,-17.06559934,-6.830519481,-12.3209681,59.34473297,-16.25196024,-9.797106767,-9.101296125,-13.96847609,-11.7335314,-12.02029407,-8.659606279,-4.804047494,-4.774368396,-0.863918236,-5.367124675,44.18446987
,14,-12.47312962,-36.4164687,-33.12676267,-33.60515523,-36.8214566,-33.99416612,-38.9810399,-31.23493041,-46.4981193,-14.8046432,-7.622833099,-11.04173503,-34.13169975,-57.0187577,-24.82993825,-36.90267766,-35.99435665,-39.80680832,-18.78872872,-38.76807954,-38.55018867,-22.41558591,-29.51994442,11.14610287,-26.04603709,-37.46279272,-36.9568676,-30.38583329,-32.4108464,-31.81055301,-21.09879447,-22.48528385,-20.13400709,-12.72356531,-14.57186942,60.38864708,-18.44397489,-15.40771879,-13.87614409,-18.15440262,-14.0121635,-19.95926674,-16.79061695,-14.25364442,-4.383851521,0.155067799,-14.06671441,37.37728432
,15,2.825566934,-22.04230097,-17.40525588,-19.33308859,-19.31886481,-19.82972764,-45.64839826,-29.75217861,-45.7999134,-20.11825243,-18.86269051,12.23815344,-29.57085795,-58.23539143,-30.09678622,-29.45858876,-40.0204191,-27.22952232,-19.80545447,-44.61113052,-42.53271602,-23.36643675,-33.82073299,15.40236203,-22.89668559,-40.84381772,-39.53307044,-39.3205068,-40.23281831,-28.97319939,-20.02069151,-26.22364679,-24.0179834,-14.31301429,-24.94906335,58.92868109,-23.51625034,-28.47221469,-14.85329261,-17.32204643,-12.16994669,-22.34213531,-11.92141512,-18.22895215,-5.27414323,-2.516442041,-16.86250917,37.86233804
,16,37.2217031,13.07487486,12.29767777,10.34050628,9.462747732,12.91040096,-45.60036384,-18.26847755,-44.83981199,-24.36875149,-26.51080994,-0.579339722,-14.05100211,-46.72947699,-14.22761975,-29.47873543,-29.24584664,-26.36197631,-22.57023838,-52.15230914,-51.77627818,-32.42954066,-39.27850332,16.55003943,-30.67421003,-44.22434415,-42.82275131,-46.03942422,-46.96520301,-37.66656558,-31.02863419,-31.38778546,-31.96363352,-21.84256807,-21.6301304,42.52345055,-29.61510278,-23.75725316,-14.49577679,-37.19055657,-18.0216985,-22.59941581,-21.51166282,-24.37566554,-6.542971827,-6.286495539,-17.98088138,23.63154914
,17,110.2094921,88.13157555,84.47842921,79.22246642,83.0158811,86.49778657,-21.10684259,8.422637507,-27.26403264,-25.91134838,-34.77003563,-6.097319537,16.97422702,-17.42623259,22.22952407,-17.03243845,-8.072986457,-12.05206654,-31.13890685,-57.26134008,-50.3769167,-33.55273303,-45.4442184,5.844517157,-30.08989176,-41.36809498,-49.74782646,-54.59284174,-52.0826278,-39.17902087,-34.36304056,-39.32419726,-32.24105907,-30.45387828,-28.25646057,49.94395557,-30.8191915,-30.88956761,-25.90581553,-39.87050367,-20.75114192,-35.1989274,-21.61909304,-26.6997034,-12.73251502,-13.27120604,-20.05677336,15.43165559
,18,265.7695142,253.0797177,249.2195822,222.6969857,235.2270447,237.6228767,21.60230091,70.83805844,22.49736701,-23.9536476,-33.87718369,-6.291230234,94.00962401,44.94775328,88.89448954,27.70635721,23.86788086,21.19115906,-32.57198755,-57.81139265,-45.93238268,-35.37005151,-53.4033863,5.525340958,-28.7987579,-45.8059545,-46.03651746,-55.71608526,-62.15516771,-45.82082685,-43.02503013,-51.35707484,-38.68085099,-31.84589422,-30.78855513,41.17367104,-38.23094998,-36.68781219,-21.63962223,-40.72634837,-27.21599217,-40.02251285,-28.40940106,-30.66645552,-20.04400233,-13.0037566,-25.37099981,8.559302798
,19,574.7708646,578.4092037,564.9122429,520.9532134,534.9143383,556.4506803,125.8808986,212.0371134,147.8258943,9.552160348,-22.81835788,63.55882337,253.0983025,183.271943,237.5937169,109.9761791,113.228268,103.1573561,-26.52238168,-56.94699322,-36.16710392,-40.24805767,-55.07901946,9.028008176,-23.02738178,-36.28311913,-38.48876042,-65.39028517,-60.17496142,-43.62833171,-41.48598244,-48.64779896,-41.73434792,-31.89105073,-30.60222175,30.49928065,-42.53375481,-38.9803634,-24.52175607,-48.50821024,-29.62241263,-40.96665464,-31.05121756,-30.61972093,-19.92891217,-16.70442702,-25.36866194,-1.306876635
,20,1186.12276,1211.141591,1172.579486,1082.679779,1126.67447,1168.956538,338.2166639,493.2512189,395.4436506,66.80430559,20.01016352,110.3040602,553.2071567,471.2701395,523.1438911,270.8055448,284.9027742,253.775663,-23.64648911,-38.96946687,-7.689329343,-37.61906017,-59.26694945,-5.555280357,-12.41596114,-9.73243766,-11.82888752,-57.90752366,-54.37543655,-31.78538781,-46.09511667,-52.38929679,-41.29115456,-37.92280114,-34.56407571,19.68946107,-50.36624116,-41.63573227,-29.78182192,-55.82609118,-27.46769067,-47.53890447,-36.44601999,-37.33405022,-23.77608281,-16.38999017,-29.34431916,-12.80736657
,21,2319.072869,2384.216346,2299.690573,2146.882496,2221.845861,2302.75555,751.9920139,1023.605884,893.1348276,201.8591983,104.3844965,222.0000708,1147.232522,1017.018027,1051.72408,587.1257886,607.665089,550.1500934,-7.698941603,-9.54803832,50.3839131,-45.92819679,-62.03973114,-22.20712071,27.57065738,46.79687417,52.20146836,-43.30444519,-37.89042309,-7.254282943,-41.98386872,-55.20561532,-41.50948251,-41.31868106,-33.70084248,9.434633029,-50.85351328,-41.73581768,-31.27075394,-60.15810284,-36.64538025,-50.88639194,-37.41643234,-34.55650381,-26.71462048,-22.3942377,-38.56873786,-16.27595441
,22,4285.216651,4392.71061,4268.457716,4022.34095,4133.026612,4335.540033,1534.596575,2043.012048,1842.114694,464.4088751,290.8387139,455.2981124,2261.478073,2031.278743,2069.08541,1207.84044,1243.499045,1123.508747,30.4392456,65.25135694,177.2405257,-35.19049585,-49.99302303,-24.56362391,104.7578875,159.2415079,167.2085031,-6.426310602,1.397146292,50.02285243,-41.42580057,-55.64251167,-35.59596633,-46.20390677,-37.69472465,-2.600168579,-48.99802377,-43.12236629,-33.09325284,-59.56191508,-37.76879297,-54.28498591,-37.58918197,-41.14545967,-28.42128351,-20.64337315,-41.49486995,-13.48947975
